CODE;DESCRIPTION
"EV001160";"UHF"
"EV001161";"VHF"
"EV001162";"Receiver diplexer"
"EV001163";"F-bus"
"EV001164";"Splitter"
"EV001165";"Distributor"
"EV001167";"Repeater amplifier"
"EV001168";"Feed-in amplifier"
"EV001169";"Amplifier substation"
"EV001170";"In-house distribution amplifier"
"EV001171";"Distribution amplifier"
"EV001172";"Line amplifier"
"EV001173";"Return path amplifier"
"EV001174";"DiSEqC"
"EV001175";"Single LNB"
"EV001176";"Twin LNB"
"EV001177";"Quatro LNB"
"EV001183";"Heat pump"
"EV001184";"Single cable system"
"EV001186";"Active"
"EV001187";"Passive"
"EV001188";"0/22 kHz"
"EV001192";"Multi-band amplifier"
"EV001196";"Active/passive"
"EV001198";"Above floor shaft"
"EV001199";"Sub floor shaft"
"EV001203";"Active return path module"
"EV001205";"ESB"
"EV001206";"Double flange plug"
"EV001208";"Telescopic mast"
"EV001209";"Plug-in mast"
"EV001210";"Mast pipe"
"EV001211";"Stand pipe holder"
"EV001212";"Wall mount"
"EV001214";"Rotational speed controller"
"EV001216";"Wall-/conduit mounting"
"EV001222";"Coaxial (IEC)"
"EV001223";"Remote sensor"
"EV001224";"Sideways"
"EV001225";"Bus insert"
"EV001226";"Pin insert"
"EV001232";"Loop-through socket"
"EV001235";"Temperature controller"
"EV001236";"Basic device for multi switch system"
"EV001239";"FM amplifier"
"EV001241";"Light sensor"
"EV001242";"Presence sensor"
"EV001246";"Test point adapter"
"EV001247";"Surface mounted/recessed mounted"
"EV001248";"Push button, normally open"
"EV001249";"2x1-pole"
"EV001251";"Soldering connection"
"EV001252";"Rocker lever"
"EV001255";"Insert socket outlet protection"
"EV001256";"Self adhesive socket outlet protection"
"EV001258";"End switch"
"EV001264";"D-Sub 36-pole"
"EV001269";"Data processing technology"
"EV001270";"Glue and screw"
"EV001273";"Coaxial cable testing device"
"EV001275";"Patch cable tester"
"EV001280";"Thermal release"
"EV001281";"Thermal/magnetic release"
"EV001282";"Push button switch"
"EV001283";"Rotary toggle"
"EV001284";"Mounting set"
"EV001292";"Bushing"
"EV001293";"Partially isolated"
"EV001294";"Fully isolated"
"EV001296";"Connector (male)"
"EV001297";"Distribution terminal block"
"EV001299";"Cable duct"
"EV001302";"Vertical"
"EV001303";"Full rubber"
"EV001304";"Duroplast"
"EV001305";"Pressed material"
"EV001308";"Insulation displacement connector"
"EV001309";"Vertically sideways"
"EV001328";"Link chain"
"EV001339";"Hanger for trapezoidal ceiling (for chain suspension)"
"EV001340";"Hanger for trapezoidal ceiling (trapezoidal shape)"
"EV001345";"F-plug"
"EV001348";"Mast base"
"EV001350";"VHF/UHF"
"EV001354";"Double profile"
"EV001355";"Back perforated"
"EV001356";"3 sides punched"
"EV001358";"Exit"
"EV001360";"Push button"
"EV001362";"Smoke detector"
"EV001363";"Manual T-Switch/X-Switch"
"EV001364";"Manual X-Switch"
"EV001365";"Manual T-Switch"
"EV001366";"Automatic/manual T-Switch"
"EV001367";"Automatic T-Switch"
"EV001368";"Flat coupler"
"EV001369";"Interior coupler"
"EV001371";"D-Sub, serial 25-pole"
"EV001372";"Monitor/keyboard T-switch"
